id	GSM2690788_con	GSM2690789_con	GSM2690790_con	GSM2690785_treat	GSM2690786_treat	GSM2690787_treat
CYLD	10.7974071169592	10.7925794878863	10.66318839383	10.9807557156841	11.2426225677836	11.2580921905341
CYP11A1	6.65412052601089	4.91091349568893	5.43392682905565	4.67625630239321	5.19108458115451	6.76827190314987
CYP11B1	4.44543222715996	3.91494822558085	4.42402364645989	3.88117291043156	4.07248446612292	4.42402363311113
CYP11B1|CYP11B2	5.89696667037049	4.82926298607851	6.78491486784363	5.96459082536717	5.19108458115451	6.9811948727557
CYP11B2	2.67851155203307	2.06817310904704	2.16343646357876	1.88689164293019	1.3227151306885	1.12773007252761
CYP17A1	9.76283359609512	6.73413068576862	9.12455620884707	6.82628618076026	7.06444441570634	6.84304111552856
CYP19A1	7.00776079786175	6.09500266838154	6.35868053606832	4.92022151311743	5.6737019372578	5.58358490836616
CYP1A1	4.2860512781799	5.45955188886572	4.35989257351807	2.64193992408264	2.92216355734648	3.01342996950917
CYP1A2	9.51135625953232	9.1294745008637	11.0251907368936	9.19743942059943	10.7127425070054	9.24319463814124
CYP1B1	10.9509508379985	12.662507376699	10.2328991967602	8.7546185975981	8.35431300445548	9.37731950290222
CYP1B1-AS1	6.91988368429901	6.75694155107722	6.70539680270727	6.22763590451757	6.95328634379728	8.19985531641333
CYP20A1	6.76782939648206	8.07134883314104	7.42490570453207	7.40651822671703	7.521110762558	6.89523298549581
CYP21A2|CYP21A1P	7.63614486890263	5.56471320922424	7.53886102286185	8.28231648193285	9.1487423951772	9.28320711321564
CYP24A1	2.67851155203307	2.64193992408264	1.82215604870035	1.88689164293019	7.85138312440684	1.62123870981386
CYP26A1	6.7714859050302	3.64146969954344	6.21211421966036	4.04373728804715	5.29028031178516	5.62828193121006
CYP26B1	7.60437520538588	7.6597189807014	7.86946807123355	7.18158852280515	8.24986333289145	6.62080820742082
CYP26C1	5.28118470761755	4.29389195775203	5.20969447876723	4.67625630239321	4.92963535740259	5.14387206278006
CYP27A1	10.5197188506282	9.52332621443452	10.4470921112989	10.8075921057317	11.3780500054966	10.4231996231377
CYP27B1	7.6667749690973	5.93177833394382	7.2187562513305	6.039322012925	5.72385220432715	4.88033553738967
CYP27C1	7.98406031782976	7.27327668753646	7.84433914056711	7.24220127147918	7.00151496157308	8.18299100672386
CYP2A13	8.22171415870801	6.72244521125448	8.37893268664352	7.1350105723453	7.07372356980629	7.6040774201202
CYP2A6|CYP2A7	8.18944327498662	6.95364875654095	8.20979736483118	7.26240472037573	7.13158016803956	7.6295165545014
CYP2A7	4.65440374624707	3.75497271158221	4.16447915414769	4.16026188687391	3.92246911826318	3.80532755742231
CYP2B6	9.46086916542927	7.79733164387093	9.10042529543273	7.58733297316613	7.63489971369858	7.89996347232151
CYP2B6|CYP2B7P1	8.66640699098132	6.74551025852619	9.04657714505691	5.10139110847902	7.00151496157308	6.06509247459864
