geneNames	GSM2674259	GSM2674260	GSM2674261	GSM2674262	GSM2674263	GSM2674264	GSM2674265	GSM2674266
hsa_circ_0000350	9.516681774	8.849009029	9.565337057	9.341376243	9.503512002	10.32677876	10.3642013	10.60472546
hsa_circ_0000352	11.09155829	7.725355266	8.046944655	9.490471631	8.015754499	8.844504566	9.774784404	8.470652317
hsa_circ_0000356	11.16921938	9.19629078	7.406722774	11.8960006	8.087122747	6.702150344	7.344004122	7.854079126
hsa_circ_0000358	5.29226227	5.262034226	5.07674667	5.353089914	5.334215624	5.226350055	5.285342571	5.027834693
hsa_circ_0001275	11.10652099	10.13826974	12.78633312	11.62929896	12.71770285	13.80502571	14.08641084	14.05306664
hsa_circ_0000363	6.472664646	6.86957395	6.392289729	6.696075736	6.36081878	6.163617226	5.847016933	4.965709844
hsa_circ_0000365	7.969017418	10.33049497	10.22113199	9.336084485	11.09634349	10.06069375	9.777355417	10.85739664
hsa_circ_0000366	5.537168306	5.136925001	5.057921891	5.235952467	5.06062623	5.169860383	5.46958932	5.370631183
hsa_circ_0000367	10.8279368	8.925549656	11.97401062	9.054939043	10.29332609	11.8368264	10.77324092	11.65659173
hsa_circ_0001301	5.283028609	8.923879757	9.830017407	6.412542539	9.900487051	10.24346962	8.076639992	6.701284108
hsa_circ_0000372	11.49297895	7.446294593	6.98083519	8.526859673	6.713364347	6.689101861	6.171144517	6.797640616
hsa_circ_0000380	9.936451536	9.679917043	7.879190437	7.697173574	7.814171548	7.512974574	7.924060608	7.621124297
hsa_circ_0000386	7.394180881	8.863116537	9.056633347	8.86958887	9.845046413	10.02245227	8.894812876	8.71552753
hsa_circ_0001404	6.566980835	6.46145305	5.710762018	6.464008802	5.850146512	5.511701667	5.588666298	4.965709844
hsa_circ_0000393	8.649474946	6.319078441	6.925906134	7.92702761	7.228201928	8.691301703	9.313871379	8.829122981
hsa_circ_0000394	10.03771632	7.919412416	7.936996434	9.86814485	7.591744017	6.768989992	6.826527992	6.797640616
hsa_circ_0001463	15.05835374	12.65473355	12.66297392	14.68540575	12.40693531	12.44784155	13.25488997	13.00846117
hsa_circ_0000403	5.550697158	5.686455357	6.1176096	5.588666298	6.504793372	7.242563328	6.803303091	7.795217493
hsa_circ_0001477	14.90160635	12.45473263	13.5794999	14.54012416	13.55441628	13.85394897	14.22030262	13.51653857
hsa_circ_0000405	5.202060631	5.182330291	5.103220135	4.903804141	5.06062623	5.105840958	4.854787993	5.592408825
hsa_circ_0000407	5.951247119	6.409363569	10.1808784	6.082114706	12.21116536	12.94880037	9.868482498	12.68622658
hsa_circ_0000409	7.724289673	8.63729828	7.106218878	7.817772812	5.75150088	6.357523636	6.492828791	6.485803353
hsa_circ_0001500	8.874784327	8.411768945	9.709081033	8.840576176	9.818779297	10.42304854	11.60452353	10.31249119
hsa_circ_0000412	7.36958328	10.44008885	10.25782788	8.656865962	8.799782309	9.08380742	9.493977278	8.974768444
hsa_circ_0000413	8.489339768	8.163641564	7.879190437	8.617002303	7.832682059	6.537193353	7.148460186	6.322462471
hsa_circ_0000414	6.550721972	8.63208055	9.097040251	7.544951976	9.517420167	8.078976085	7.482542884	6.998572238
hsa_circ_0000415	6.231190216	6.047088732	5.143317395	6.025103842	5.204508059	5.169860383	4.985768524	5.741423505
hsa_circ_0000416	10.68863138	11.07698149	10.77452838	11.16329486	9.384645382	8.950186647	7.995758037	8.042334556
hsa_circ_0000418	7.251467144	10.7123644	9.765490635	10.17156574	9.026691874	7.867461846	8.769005989	6.086101984
hsa_circ_0000421	7.004553499	5.824917704	5.29226227	7.009810567	5.383648573	5.226350055	5.387961733	5.882603621
hsa_circ_0001545	5.571703734	5.55837135	5.870324955	5.457327934	6.158577125	6.254998112	6.044358873	6.878797518
hsa_circ_0001549	6.323025705	6.391215875	8.752584324	6.389603594	9.698267778	11.1568721	9.171016347	11.70184721
hsa_circ_0001563	7.489835019	6.707336871	6.187320152	6.240760572	5.794373952	5.55837135	5.387961733	5.55837135
hsa_circ_0000426	8.76175362	6.228787674	6.480764155	7.964692546	5.917333589	5.58303424	6.429379751	5.204508059
hsa_circ_0000428	5.022296235	4.87490207	4.643763141	5.027834693	4.906813053	5.105840958	5.121466694	4.994280455
hsa_circ_0000432	6.309447024	6.772293293	9.464542458	6.589626993	9.674630815	11.07485118	12.43304704	7.676827238
hsa_circ_0000433	8.801804172	7.937548243	6.613765712	7.788096022	7.224589128	7.36958328	7.022349919	7.191043295
hsa_circ_0000435	5.537168306	5.847799965	8.308331692	5.405086566	10.19721471	11.49794457	8.906416044	11.90468105
hsa_circ_0000440	5.805702285	5.66351221	6.1176096	5.859494722	6.36081878	7.09240977	7.309745883	7.175533459
hsa_circ_0001623	5.18481139	5.226350055	5.400824377	5.177355254	5.609131081	5.791120879	5.63294832	6.962154375
hsa_circ_0001625	6.633425944	5.311689746	6.5970974	5.537168306	7.961078555	9.313729695	7.627750091	8.481036065
hsa_circ_0000445	7.307186121	5.262034226	5.057921891	5.087394421	4.906813053	5.400824377	5.511701667	5.449095397
hsa_circ_0001664	6.558396032	6.218531998	6.422037638	6.430425581	5.933652598	5.987227342	5.933652598	6.144625363
hsa_circ_0000447	5.18481139	5.057921891	4.965709844	5.041588524	4.933614539	5.169860383	4.894739569	5.370631183
hsa_circ_0000449	5.951247119	6.584938269	6.139518356	6.317948665	6.186082291	6.671518246	7.156698841	6.595233422
hsa_circ_0000450	6.622943343	6.611000999	7.488329323	6.076781134	8.044043718	9.08380742	8.095058794	7.207303685
hsa_circ_0000451	6.90386242	6.89593436	5.968629647	6.402984535	6.186082291	6.781338566	6.352014948	7.655966329
hsa_circ_0000452	7.094390611	7.015397072	6.422037638	6.738070468	6.504793372	6.82930588	6.738070468	8.097694472
hsa_circ_0001703	5.658165418	5.46653373	5.75150088	5.271402801	5.463471653	5.599864878	5.121466694	5.027834693
hsa_circ_0001707	7.978164949	6.218531998	5.926998935	6.363011369	5.794373952	5.764828809	6.005588343	6.774765815
hsa_circ_0000457	10.80846018	7.317963244	7.600133227	7.934787085	7.515687127	7.262666994	7.583070636	7.556972605
hsa_circ_0000458	10.46639351	10.2275388	10.00903903	9.908530935	10.35404094	9.310041015	8.64317395	9.487459996
hsa_circ_0000459	8.520366801	7.332581626	7.687583106	7.443966183	7.832682059	8.4483678	8.849400058	8.860791007
hsa_circ_0000461	7.486822053	7.842733047	8.213096381	7.612395906	8.039938321	7.751533265	7.260022245	8.462751272
hsa_circ_0000464	8.792988347	7.136654231	7.18361938	7.8131696	6.944693177	7.047787973	6.329206811	6.459405184
hsa_circ_0001744	8.528447811	6.047088732	5.686455357	8.427437045	5.738893124	4.968592501	5.387961733	5.66351221
hsa_circ_0001745	5.727876563	6.047088732	6.539133798	6.011191189	6.702150344	7.302338589	6.935882683	8.004913623
hsa_circ_0000468	7.835645508	7.396590976	8.141460317	7.174597545	8.451204465	8.701734052	7.948357814	9.958006545
hsa_circ_0000474	5.057921891	4.854787993	5.143317395	4.888664724	4.965709844	5.695183394	5.238343116	5.287652827
hsa_circ_0000479	7.629572553	8.95655298	10.04810147	7.701295285	9.163960036	8.840969497	7.380447104	7.892912437
hsa_circ_0000480	9.388955567	9.583549899	12.02894149	10.57786982	13.39774961	14.19987348	14.37615496	13.18087045
hsa_circ_0001828	12.49828787	12.26363552	14.99552972	13.86931655	15.47143702	15.85282051	15.47143702	14.88012449
hsa_circ_0001829	7.841750747	11.31670488	9.983169464	9.059931527	10.85725083	10.24562506	10.32867312	9.332242781
hsa_circ_0000483	6.694335425	8.197823076	6.788697293	6.96359998	7.621124297	5.791120879	6.429379751	6.859126458
hsa_circ_0000484	6.816962991	6.162358851	6.139518356	6.392289729	5.463471653	5.791120879	6.187320152	6.878797518
hsa_circ_0001853	11.41041737	5.417798099	5.798430004	6.860291033	5.463471653	5.511701667	5.449095397	6.016772361
hsa_circ_0001854	11.29138564	7.061353776	7.730459184	8.300202162	7.615847634	8.38423716	8.374760806	9.074388058
hsa_circ_0000489	11.1962169	11.06781138	11.99797274	10.65429893	11.92032899	10.40061092	10.84229996	10.75478179
hsa_circ_0000490	4.882564192	4.643763141	5.143317395	5.177355254	5.29226227	6.445505528	5.588666298	5.134360092
hsa_circ_0000492	5.169860383	5.226350055	5.143317395	5.111068364	5.06062623	5.202060631	5.744790457	5.781317418
hsa_circ_0000494	8.14241797	10.04729215	10.47370411	8.917926635	10.52610025	9.696747433	9.865489148	8.306196779
hsa_circ_0000496	5.264382079	5.537168306	5.189760825	5.075410159	5.250237301	5.370631183	5.169860383	6.120204436
hsa_circ_0000498	9.033418562	7.715092939	6.412542539	8.304343963	6.011191189	5.169860383	5.46958932	4.927701534
