id	GSM2674263_con	GSM2674264_con	GSM2674265_con	GSM2674266_con	GSM2674259_treat	GSM2674260_treat	GSM2674261_treat	GSM2674262_treat
hsa_circ_0000988	7.6853825	8.463448	8.9134535	8.9533525	8.7390256875	7.2829213125	7.66720025	7.75367025
hsa_circ_0000302	8.948091375	10.0848135625	10.381232	9.4788215	11.340004125	9.0260245625	9.0617384375	9.553487875
hsa_circ_0000303	7.858538875	8.425795125	7.6644615	8.49762	7.0918320625	6.707576125	7.8167695	6.527580125
hsa_circ_0000308	5.20808925	5.233458375	4.84318675	5.45552775	7.17815325	5.874561375	5.874561375	7.2078500625
hsa_circ_0000310	6.57638175	7.05035275	6.5266895	6.940116375	7.16838575	6.675712	6.964166125	7.0417614375
hsa_circ_0000313	6.4155953125	6.977595	6.4646855	7.110173625	6.000693625	5.8180465	6.028602	5.67142425
hsa_circ_0000314	11.03971325	12.63494975	10.423482375	11.9008925	5.347336875	6.332386375	9.8593064375	5.165331375
hsa_circ_0001071	5.448929625	5.515511375	5.28341825	6.14739175	9.098642875	6.60229	6.085011125	7.905174125
hsa_circ_0000317	11.6617165	10.42718825	10.265064375	10.2091478125	14.695686375	13.4693165	13.359454875	14.391189875
hsa_circ_0000319	9.315839	7.7771129375	8.153090375	7.406297	13.18569175	11.2150855	10.437192375	12.725384875
hsa_circ_0000320	10.14927125	9.7214141875	9.368812	10.12761375	13.7826405	11.71292425	10.879991	13.300218875
hsa_circ_0001100	5.972380375	9.3550305	7.399730625	8.616468125	6.988686	5.7584605	5.660581875	7.441111125
hsa_circ_0000323	8.065154875	9.28838425	6.8480415	9.537349375	5.605992125	5.7195405	6.67741525	5.4380625
hsa_circ_0000324	10.67298475	10.739945125	9.27463275	10.897887125	7.312936875	7.926446125	9.659943	6.95316525
hsa_circ_0000328	7.643662	7.9705910625	6.7550853125	6.263234	7.1808704375	6.444271375	7.150240125	6.590300125
hsa_circ_0001138	4.9231405	5.0116405	5.28341825	4.702121875	4.737123625	4.804653875	4.9231405	4.9090875
hsa_circ_0001155	5.779650625	5.438980625	5.051506125	5.904149375	5.261830375	5.709699875	5.406481	5.205739375
hsa_circ_0000336	6.086230875	6.118568	6.82326075	6.8056205	6.6193355	6.92352775	6.4857685	6.6521315
hsa_circ_0000338	8.104871875	7.5405324375	6.5576949375	7.7745786875	11.4783935	8.793322125	7.990018625	11.223751625
hsa_circ_0000342	7.342185625	8.734926125	6.390572125	7.80361875	6.423232875	6.54406475	6.9780103125	6.3732460625
hsa_circ_0000344	11.836352375	11.91209625	10.86083175	9.452197	8.878141125	11.884331375	12.03942925	10.338552375
hsa_circ_0000345	6.59761825	6.725349125	6.4860225	6.82488525	9.680703375	7.329897875	6.294493375	8.817444875
hsa_circ_0000346	6.57638175	7.84353025	6.0971853125	8.185342625	9.2494208125	5.5501891875	5.6009169375	6.094455375
hsa_circ_0000348	5.448929625	5.849222	5.093011875	6.438572875	4.87133375	5.1735885625	5.300387125	4.756794
hsa_circ_0000349	10.7866555625	9.668262375	10.11316425	10.5234945	10.6143365	11.91209625	10.662393875	11.2729938125
hsa_circ_0000350	9.4651635625	10.3572325	10.400298	10.632923125	9.583984375	8.794424875	9.5127355625	9.339378875
hsa_circ_0000352	7.983038375	8.8600174375	9.80132125	8.5199315	11.178553625	7.66644825	7.978853125	9.489785125
hsa_circ_0000356	8.051164125	6.725349125	7.3743215	7.90295425	11.262469125	9.12742425	7.349131125	11.864495375
hsa_circ_0000358	5.300387125	5.233458375	5.28341825	5.1639523125	5.300387125	5.205739375	5.037484	5.357124625
hsa_circ_0001275	12.685799875	13.676299375	14.01644375	13.956363375	11.202167875	10.061222375	12.77631625	11.593571125
hsa_circ_0000363	6.325370125	6.1690366875	5.841866375	5.090105625	6.530252625	6.8230584375	6.32623675	6.718530875
hsa_circ_0000365	11.051802625	10.0759615	9.805449	10.8742688125	8.029456375	10.25353175	10.18399575	9.33374425
hsa_circ_0000366	5.02927475	5.172530375	5.46905175	5.45552775	5.556436875	5.083565	5.006700875	5.242580875
hsa_circ_0000367	10.25353175	11.85693075	10.82982825	11.6906825	10.892528875	8.8594853125	11.91209625	9.05709425
hsa_circ_0001301	9.875553625	10.268061125	8.0978991875	6.7389345	5.281302375	8.858285	9.7827713125	6.42571775
hsa_circ_0000372	6.681111875	6.70732925	6.163805625	6.82488525	11.591535125	7.382879875	6.913688375	8.5273244375
hsa_circ_0000380	7.7756780625	7.5250954375	7.944544625	7.6600565	10.005463125	9.597120375	7.829272125	7.710290625
hsa_circ_0000386	9.814488875	10.040532125	8.94346125	8.7619415	7.4443085625	8.8050785	9.007048875	8.871773
hsa_circ_0001404	5.80812675	5.515511375	5.59067025	5.090105625	6.6193355	6.423232875	5.660581875	6.484089
hsa_circ_0000393	7.20300925	8.7090245	9.347677875	8.873682	8.7172505625	6.280288	6.8580295	7.943077375
hsa_circ_0000394	7.55239725	6.789462625	6.8480415	6.82488525	10.1074165	7.861889	7.87889625	9.864324375
